Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Release.date,Comp.Date,Material,Cost,credit,Date,vehicle,month,CBMS,jbpds,rws,majComponent,days
197,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004083464,PM01,1,,LEFT REAR UPPER ARMOR PLATE DAMAGED,6/19/18,,8/7/18,14818579,0,,Jun-18,111,6,FALSE,FALSE,FALSE,0,
198,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004075303,PM01,1,,BAWS 4 PLU ASSEMBLY,6/19/18,,9/7/18,14818579,0,,Jun-18,121,6,FALSE,TRUE,FALSE,1,126
355,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005308629,PM01,2,,M88 DOES NOT COMMUNICATE WITH NBCSPG,1/15/19,,2/14/19,14818579,0,,Jan-19,122,1,FALSE,FALSE,FALSE,0,
200,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004080170,PM01,1,,GENERATOR INOP,6/19/18,,8/7/18,14818579,961,,Jun-18,121,6,FALSE,FALSE,FALSE,0,
201,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1004075301,PM01,1,,COLLECTOR ASSEMBLY,6/19/18,,7/17/18,14818579,10966,,Jun-18,112,6,FALSE,FALSE,FALSE,0,
202,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1004075248,PM01,1,,FLUID TRANSFER SYST INOP,6/19/18,,7/16/18,14818579,19759,,Jun-18,112,6,FALSE,FALSE,FALSE,0,
203,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004075250,PM01,1,,FLUID TRANSFER SYST INOP,6/19/18,,8/7/18,14818579,19759,,Jun-18,121,6,FALSE,FALSE,FALSE,0,
327,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005265756,PM01,1,,KGV-72 NOT COMMUNICATING WITH JCR,1/9/19,,1/21/19,14818579,0,,Jan-19,122,1,FALSE,FALSE,FALSE,0,
205,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004137022,PM01,1,,LEFT AND RIGHT BRAKE VALVES INOP,6/27/18,,7/18/18,14818579,0,,Jun-18,121,6,FALSE,FALSE,FALSE,0,
206,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004204021,PM01,1,,AFQ-Annual,7/12/18,,7/12/18,14818579,0,,Jul-18,121,7,FALSE,FALSE,FALSE,0,
207,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1004203951,PM01,1,,AFQ-Annual,7/12/18,,7/12/18,14818579,0,,Jul-18,112,7,FALSE,FALSE,FALSE,0,
208,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004231916,PM01,1,,GENERATOR INOP,7/18/18,,8/7/18,14818579,0,,Jul-18,111,7,FALSE,FALSE,FALSE,0,
209,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1004329063,PM01,1,,COLLECTOR ASSEMBLY INOP,8/1/18,,9/11/18,14818579,0,,Aug-18,112,8,FALSE,FALSE,FALSE,0,
210,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1004329061,PM01,1,,FLUID TRANSFER SYST INOP,8/1/18,,9/11/18,14818579,0,,Aug-18,112,8,FALSE,FALSE,FALSE,0,
211,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004357078,PM01,1,,BATTERY INOP,8/7/18,,8/15/18,14818579,0,,Aug-18,121,8,FALSE,FALSE,FALSE,0,
330,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005265253,PM01,1,,STORM INOP,1/9/19,,1/25/19,14818579,0,,Jan-19,122,1,FALSE,FALSE,FALSE,0,
213,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004357071,PM01,1,,GENERATOR INOP,8/7/18,,9/6/18,14818579,0,,Aug-18,111,8,FALSE,FALSE,FALSE,0,
214,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004357076,PM01,1,,GENERATOR INOP,8/7/18,,9/6/18,14818579,0,,Aug-18,121,8,FALSE,FALSE,FALSE,0,
215,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004357072,PM01,1,,LEFT REAR UPPER ARMOR PLATE DAMAGED,8/7/18,,9/11/18,14818579,2184,,Aug-18,111,8,FALSE,FALSE,FALSE,0,
363,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005324408,PM01,1,,FTS INOP,1/16/19,,2/2/19,14818579,0,,Jan-19,111,1,FALSE,TRUE,FALSE,1,78
273,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004914912,PM01,1,,FTS INOP,10/30/18,,12/28/18,14818579,19461,,Oct-18,111,10,FALSE,TRUE,FALSE,1,84
218,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004410915,PM01,1,,BATTERY INOP,8/14/18,,9/6/18,14818579,0,,Aug-18,121,8,FALSE,FALSE,FALSE,0,
308,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005227986,PM01,2,,RWS SOFT MOUNT NUT AND BOLT MISSING,12/27/18,,1/15/19,14818579,95.72,,Dec-18,122,12,FALSE,FALSE,TRUE,1,
220,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004416340,PM01,1,,L/R UPPER ARMOR PLATE DAMAGE,8/15/18,,8/15/18,14818579,0,,Aug-18,111,8,FALSE,FALSE,FALSE,0,
221,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004560603,PM01,1,,FTS INOP,9/6/18,,9/7/18,14818579,0,,Sep-18,121,9,FALSE,TRUE,FALSE,1,79
